XCOOR,YCOOR,VILLCODE,VILLNAME,TOPOZONE,INUNDATION,ELEVATION,DRYRAINFALL,SOIL_LOWP,SOIL_MEDP,SOIL_HIGHP,TAGAP_DRY,TAGAP_WET,CONZ_PROX,CONZ_PEOP,POP,SEXR,KW_UPTOSEC,KW_ILLIT,LF_FISH,LF_CROP,LF_ANI,LF_WAGED,INDLIVELI,MIGRANTS,FP_WRK,FP_FEMWRK,PL_P1HH,PL_P2HH,PL_NONPHH,RYLD_WET,RYLD_DRY,LA_RICE1HA,LA_CULT1HA,MA_INDACT,MA_PROXROAD,SW_PROXRIV,SW_PONDS,FISHPRO
310600,1484800,1021010,Chaek Angkar,1,0.94300592,4,27.8,0,0,6097904.763,2212.998535,1891.587769,51592.69935,0,583,0.969595,579.235,66.879,0,316.4556962,0,0,0,0,0,0,98.5915493,77.46478873,823.943662,1.5,1,152,0,0,505.1879655,23462.3560399999,2,0
294100,1492800,1021208,Kouk Chrab,2,2.48311305,5,30.6,0,0,2439161.90499999,1832.436523,1612.18103,69670.6978899999,0,584,0.883871,778.351,10.067,0,988.6039886,0,350.4273504,0.991093266,435.8974359,0,0,93.75,150,756.25,3,3.5,300,0,1.666666667,42.91603688,8986.797557,15,0
410979,1462183,17110501,Kampong Ko Pir,2,0.56671196,5,20.2,0,2032634.921,0,688.7073364,693.5071411,48991.52928,0,584,0.889968,691.489,119.741,0,826.2032086,0,0,0.258966074,64.17112299,0,0,70.70707071,131.3131313,797.979798,2,0,136.36364,0,0,226.9955064,81192.9780199999,0,0
427506,1445255,17041215,Ou Leu,2,2.03125,5,22.4,0,2439161.90499999,0,868.9168701,744.7140503,30361.53062,0,585,1.03125,327.189,303.514,0,514.1242938,0,22.59887006,1.052068,56.49717514,0,0,196.5811966,213.6752137,589.7435897,1,1,375,0,0,484.6021757,74899.1661599999,0,0
369900,1401700,15010111,Tuol Thmea,2,4.2709918,5,29.6,0,406526.9842,4065269.842,1581.801025,1065.307373,55062.76133,0,586,0.872204,522.388,272.727,0,900.3215434,0,0,0.693132984,909.9678457,0,0,61.94690265,194.6902655,743.3628319,2,1.8,141.73228,118.11024,0.492125984,289.8414896,8136.013061,0,0
419974,1440227,17040111,Chaek Khsach Leu,2,16.98169136,5,22.8,0,0,3658742.858,1860.064087,2057.328613,25551.2530799999,0,586,0.908795,488.189,188.841,111.1111111,580.952381,0,0,0.601279844,31.74603175,0,0,145.2991453,119.6581197,735.042735,1,3,341.88034,0,0,76.75498441,66406.09564,1,100
448710,1429674,6080605,Msar Krang Tboung,2,2.52150726,5,24.4,0,1626107.93699999,0,941.345459,817.6849365,28394.9062699999,0,588,1.041667,339.535,278.986,93.65558912,990.9365559,0,102.7190332,0.950670897,132.9305136,0,0,0,0,0,1.5,0,200,200,0,505.8479473,77941.41894,0,0
428650,1451398,17040502,Krabei Riel,2,-9999,5,22,0,406526.9842,0,1134.072144,1124.614258,36593.3428599999,0,594,1.09894,902.439,0,0,724.8677249,0,140.2116402,0.588454693,34.39153439,0,0,104.3478261,147.826087,747.826087,1,3,491.52542,0,3.310032086,191.1193908,80532.4970699999,1,0
300041,1492500,1021308,Boeng Veaeng,2,0.70104718,5,29.6,0,0,6097904.763,2070.211182,1584.012207,64659.52923,1000,595,1.065972,0,0,0,1864.40678,0,0,0.271538958,115.819209,0,0,100,86.66666667,813.3333333,2,2.5,60.60606,0,0,51.19149839,14800.83012,2,0
472265,1415891,6020703,Tang Krouch,2,0.61651784,5,28.4,0,3658742.858,0,1110.706299,1252.421997,32609.93226,0,596,0.928803,691.756,43.011,0,847.133758,0,50.95541401,0.53529868,0,0,0,186.440678,161.0169492,652.5423729,1,3.5,800,130,0,154.5350201,78759.42555,0,0
456300,1427534,6081213,Pradet,2,1.16981137,5,25.6,0,1219580.953,0,723.6889648,922.3391113,34013.43811,0,596,0.868339,612.766,242.902,0,903.5087719,0,40.93567251,0.920250796,58.47953216,0,0,291.6666667,104.1666667,604.1666667,2,3,491.80328,0,1.734781947,4.19485632,81682.07342,15,0
456558,1359031,4061221,Svay Chek,2,3.19630671,5,31,0,0,3252215.873,1671.361206,1976.180542,36782.3003899999,0,597,0.95098,736.626,0,0,961.414791,562.7009646,32.15434084,0.996592457,173.6334405,0,0,12.29508197,139.3442623,848.3606557,1.5,2,984.25197,0,0,262.3892118,22901.1626099999,0,0
377468,1386536,15010712,Kampeaeng Svay,2,1.49390626,5,33,0,0,3658742.858,1952.532227,1513.880859,54889.89624,0,597,0.735465,841.463,0,0,1158.682635,0,47.90419162,0.682199135,56.88622754,0,0,102.9411765,147.0588235,750,2,0,172.13115,0,1.024590164,234.2886581,1120.072699,0,0
