XCOOR,YCOOR,VILLCODE,VILLNAME,TOPOZONE,INUNDATION,ELEVATION,DRYRAIN,SOIL_LOWP,SOIL_MEDP,SOIL_HIGHP,CONZ_PROX,CONZ_PEOP,POP,SEXR,KW_UPTOSEC,KW_ILLIT,LF_RICE,LF_VEGE,LF_LSC,LF_WAGED,INDLIVELI,MIGRANTS,PL_P1HH,PL_P2HH,PL_NONPHH,RYLD_WET,RYLD_DRY,RYLD_DANDW,RYLD_RANDI,LA_RICE1HA,LA_CULT1HA,INDAGRIM,A_IRRIC,A_IRRIR,A_IRRIP,A_IRRIW,MA_INDACT,MA_PROXROAD,TAGAP_DRY,TAGAP_WET,SW_PROXRIV,SW_PONDS,GW_DWELL,GW_BOREW,IRRI_SCH,IRRI_HEAD
440074,1439217,17040703,Rumchey Chroh,2,4.66973591,5,23.4,0,10163174.6,0,28817.7059999999,0,972,1.063694,377.44,0,847.4264706,0,137.868,0,0.404827993,0,211.6402116,52.91005291,735.4497355,1,1.5,-0.6146,0.1111,158.62069,0,33.23964773,0,0,0,0,0,497.0045494,1240.978638,1085.770264,78555.79309,3,0,0,0,No
295700,1507800,1040107,Chhnuor,2,-9999,5,30,406526.9842,0,0,77913.0295099999,0,970,0.971545,513.587,42.945,934.1216216,0,0,11.82432432,0.601327017,219.5945946,87.37864078,165.0485437,747.5728155,1.5,0,-0.9861,-1,46.51163,0,14.54748158,0,0,0,0,6.502669359,1.06661603,1529.127441,1066.271118,14083.24723,2,0,0,0,No
482382,1403421,6030403,Ou Kanthor Khang Cheung,3,3.919034,5,31.2,0,0,2845688.889,35964.1362799999,0,969,0.961538,901.316,0,948.3870968,93.548,0,187.0967742,0.887686849,29.03225806,0,0,0,1.5,3.5,-0.5049,0,403.66972,0,81.86037591,0.063,0.1164,0,0,0,52.84933645,835.2421265,1543.227051,73403.0455599999,21,0,0,0,Yes
457787,1422623,6080205,Neang Noy,2,1.37585568,5,26.6,0,2439161.90499999,0,29778.0017999999,0,968,0.924453,356.41,409.382,803.539823,0,0,81.4159292,0.645465093,8.849557522,142.8571429,169.3121693,687.8306878,1.2,2.5,0.2984,-1,715.02591,0,1.03626943,0,0,0,0,0,733.3062789,769.3571777,805.4671021,78619.80925,0,29,0,2783322.71517999,No
354528,1493637,17070108,Kouk Chrey,2,1.1789062,5,21,0,2845688.889,0,40045.49928,0,968,0.932136,669.421,150.862,877.5862069,0,0,6.896551724,0.275641717,58.62068966,10.98901099,60.43956044,928.5714286,1.5,2,-0.7358,-1,46.63212,0,27.36133829,0,0,0,0,0,401.3370502,3589.261475,3694.526367,67162.70931,0,96,2,0,No
363109,1485927,17071011,Ou Ta Prak,2,-9999,5,20.2,0,813053.9684,0,34179.97989,0,967,1.006224,746.439,0,443.3497537,0,0,0,0.311604711,45.97701149,49.32735426,94.17040359,856.5022422,2.5,2.7,-0.4894,-0.1285,215.51724,0,1.293103448,0.1867,0,0,0,13.21358463,87.2202529,1537.468872,1166.957886,69384.5458099999,0,15,1,0,Yes
320600,1505300,1040307,Laote,2,1.31629813,5,25.2,0,8537066.66799999,0,60287.19256,0,966,0.901575,595.628,169.197,753.3783784,11.824,0,239.8648649,1.068766926,229.7297297,53.09734513,150.4424779,796.460177,1,0,-0.8906,-1,225,0,24.46725908,0,0,0,0,1.5625,292.1134949,1503.174561,952.8468628,35862.11305,2,0,0,0,No
284300,1478200,2020703,Snuol Kaong,2,-9999,5,33.2,0,0,4471796.826,71771.73291,0,966,0.909091,821.159,42.222,255.1210428,65.177,46.555,0,1.046011653,180.6331471,0,0,0,2,3,-1,0,112.99435,0,37.69881598,0.5346,0,0,0,0,279.042299,1586.640137,1232.566895,2527.747552,40,0,0,5095110.75499999,No
312630,1458800,2050108,Reach Doun Kaev,2,3.83318448,5,30,0,0,2032634.921,39458.66906,0,966,1.004149,596.591,91.778,265.1391162,114.566,502.455,44.1898527,1.066936075,72.01309329,34.7826087,230.4347826,734.7826087,1.5,3,-0.8533,-0.0909,232.55814,93.02326,38.43130663,0,0,0,0,0.290697674,256.1375559,1846.895996,2087.865234,12822.79707,25,30,0,0,No
331900,1408500,2060906,Robas Mongkol,2,0.49687499,5,29,0,0,2439161.90499999,49357.6577899999,0,966,0.983573,619.672,29.88,611.4754098,185.246,245.902,40.98360656,1.087532396,77.04918033,119.266055,100.9174312,779.8165138,1,0,-1,0,194.02985,273.63184,28.93370971,0.1636,0,0,0,0,330.645225,2094.863281,871.5542603,1789.679883,0,0,0,0,No
461596,1354022,4061111,Trea Tboung,2,-9999,5,31.4,2439161.90499999,0,0,43033.03484,0,965,0.859345,491.582,64.732,1124.489796,0,32.653,179.5918367,0.820070561,0,99.56709957,186.1471861,714.2857143,1.2,0,-1,0,756.75676,0,1.801801802,0,0,0,0,0.953348638,615.5411549,1640.345215,2241.287598,23600.8321299999,0,0,0,0,No
383190,1393999,15020712,Chreaeng,2,0.59899193,5,30.4,0,0,6910958.73099999,46248.6312,0,965,0.881092,906.977,0,0,0,267.442,81.39534884,0.94875634,96.89922481,106.9518717,69.51871658,823.5294118,2,0,-0.9959,0,768.47291,0,14.38354862,0.1136,0.0184,0.0051,0,0,539.0127165,1283.879395,1450.314331,8042.655032,0,0,1,0,Yes
484666,1408292,6020911,Kouk Nguon,2,0.84583336,5,31,2439161.90499999,0,406526.9842,39583.81554,0,962,0.90873,701.389,32.755,958.1320451,0,0,19.3236715,0.291021098,51.52979066,49.75124378,79.60199005,870.6467662,1.3,0,-1,0,152.70936,0,5.980043775,0,0,0,0,0,144.5475092,1293.102905,1081.288452,78670.5094099999,0,167,0,0,Yes
377656,1474502,17100407,Trapeang Traeng,3,-9999,5,18,0,1219580.953,0,33227.21143,0,962,1.042463,424.46,33.482,279.8507463,111.94,382.463,0,0.654245513,0,0,0,0,2,2,-0.0215,0.2857,303.31754,71.09005,4.124818603,0,0,0,0,0,158.0436227,1784.79248,1060.609741,76206.1285199999,0,0,0,0,Yes
470420,1365533,4040503,Peam Tonlea,2,-9999,5,31.6,406526.9842,0,0,37081.24454,0,961,0.929719,873.457,4.367,458.7155963,0,361.468,135.7798165,1.376439344,55.04587156,163.7168142,234.5132743,601.7699115,2.5,3.5,-0.2713,0.88,274.33628,331.85841,16.60796186,0,0,0,0,4.587484173,34.82793015,2118.09668,1694.638062,37603.27145,0,30,0,0,No
408132,1386989,15030902,Krang Veaeng,2,3.64783168,5,29.6,0,1626107.93699999,813053.9684,32424.3211799999,0,961,0.833969,543.478,131.635,968.6468647,0,99.01,82.50825083,0.65692237,0,210.7843137,151.9607843,637.254902,1,0,-1,0,456.98925,0,1.075268817,0,0,0,0,0.672043011,281.9151371,1374.114746,1140.639771,19810.03197,0,20,2,0,Yes
384900,1385100,15050505,Moan Chae,3,3.17291665,5,32.6,0,1626107.93699999,813053.9684,49547.99022,0,961,1.002083,801.956,95.041,127.5862069,0,13.793,189.6551724,0.81901001,0,139.1752577,134.0206186,726.8041237,3,2,-0.9452,-1,255.10204,255.10204,13.07479795,0.4219,0,0,0,7.269943322,60.38789097,1589.140503,1413.141846,1698.801297,3,0,0,0,Yes
