XCOOR,YCOOR,VILLCODE,VILLNAME,TOPOZONE,INUNDATION,ELEVATION,DRYRAIN,POP,SEXR,KW_UPTOSEC,KW_ILLIT,LF_CROP,LF_FISH,LF_ANI,LF_WAGED,INDLIVELI,MIGRANTS,PL_P1HH,PL_P2HH,PL_NONPHH,LAT_NOIMPR,LAT_IMPR,WA_NEAR,WA_WITHIN,WS_PUR,WS_WELL,WS_POND,WS_RIV,WS_RAINS,WT_FILT,WT_BOIL,WT_CHLTT,WT_SOLTT,MA_INDACT,MA_PROXROAD,WA_AWAY,WS_UNSAFE,WT_UNTREAT
373800,1404700,15010114,Ruessei Ta Man,2,1.60203803,5,29,1069,0.947177,419.78,231.225,1229.102167,0,0,1.547987616,0.333030854,136.2229102,93.45794393,93.45794393,813.0841122,119.81567,119.81567,470,60,0,838.7096774194,161.2903225806,0,0,0,73.732718894,0,0,0.576036866,418.4140191,470,161,926
285700,1489300,1020113,Ou Snguot,2,-9999,5,32.4,1070,1.061657,558.621,15.326,480.8917197,0,12.7388535,50.95541401,0.848057274,31.84713376,63.49206349,105.8201058,830.6878307,792.07921,752.47525,694,48,0,84.1584158416,148.5148514851,767.3267326733,0,49.504950495,742.5742574257,0,0,18.23538985,213.9814599,258,916,208
285100,1489200,1020609,Ou Snguot,2,-9999,5,32.4,1070,1.061657,558.621,15.326,48.15864023,0,12.74787535,123.2294618,1.267249866,116.1473088,0,0,0,792.07921,752.47525,370,564,148.5148514851,643.5643564356,485.1485148515,148.5148514851,0,99.0099009901,14.8514851485,0,0,1.770590947,129.3434172,66,634,886
462043,1360653,4061218,Thnal Ta Saeng,1,13.50415993,5,31.6,1070,0.988848,734.328,0,959.4594595,225.2252252,82.58258258,0,0.695643531,0,54.74452555,218.9781022,726.2773723,200,200,903,75,0,1000,0,0,0,268,400,0,320,0,395.8802466,18,0,12
318000,1434038,2080606,Kbal Thnal,2,1.10636163,5,29.8,1071,0.983333,640.678,228.792,653.2663317,10.05025126,3.350083752,25.12562814,0.991221395,175.041876,200.9345794,163.5514019,635.5140187,279.81651,279.81651,404,325,0,NA,137.6146788991,0,137.6146788991,155.9633027523,NA,151.376146789,0,5.787081903,158.3519422,267,138,NA
443626,1370423,4010701,Kbal Thnal,2,-9999,5,30.4,1071,0.983333,640.678,228.792,1120.967742,153.2258065,0,19.35483871,0.609876101,64.51612903,0,0,0,279.81651,279.81651,322,608,0,963.3027522936,0,0,0,0,137.6146788991,0,0,0,87.19807963,63,0,862
303400,1490200,1021002,Sranal,2,1.13101316,5,28.8,1072,0.97786,578.212,68.677,896.8926554,0,0,0,0.37032829,124.2937853,30.56768559,135.371179,834.0611354,46.94836,0,441,28,0,0,1000,0,0,23.4741784038,46.9483568075,0,0,0.993630975,125.2907296,531,1000,930
291700,1493300,1021205,Srah Reang,2,1.25184655,5,30.8,1072,1,823.188,0,825.6880734,0,0,241.5902141,1.021386229,634.5565749,138.8888889,35.71428571,825.3968254,409.63855,409.63855,313,17,0,128.5140562249,871.4859437751,0,0,60.2409638554,285.140562249,0,0,4.66041836,30.92821879,665,871,655
489954,1413086,6020908,Voa Yeav,2,-9999,5,30.6,1072,1.041905,611.111,360.687,477.3519164,0,174.2160279,31.35888502,1.226069387,146.3414634,114.5374449,96.91629956,788.5462555,477.87611,0,156,798,0,477.8761061947,0,0,0,252.2123893805,110.6194690265,0,0,0,377.4583063,37,0,637
334649,1498579,17060902,Sranal,2,2.67853355,5,23.2,1072,0.97786,578.212,68.677,971.1711712,0,0,14.41441441,0.771088493,61.26126126,0,0,0,46.94836,0,272,718,0,NA,0,0,0,164.3192488263,192.4882629108,0,0,0,238.8694531,5,0,643
